aline1,aline2,aline3,aline4,post_code,asset_type
FLAT 39 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
21-24 Moreton Close,Hackney,London,"",E5 9EP,WalkUpBlock
52 Amhurst Road,Hackney,London,"",E8 1JH,WalkUpBlock
6-10 Even Detmold Road Plus 21-26 Inver Close  Inver Close,Hackney,London,"",E5 9NW,WalkUpBlock
30-36 Even Crossway Plus 1-8 Tavistock Close  Tavistock Close,Hackney,London,"",N16 8UZ,WalkUpBlock
33-39 ODD Bayston Road,Hackney,London,"",N16 7LU,WalkUpBlock
63 De Beauvoir Road,Hackney,London,"",N1 5AU,WalkUpBlock
44-68 EVEN Elsdale Street,Hackney,London,"",E9 6QX,WalkUpBlock
Clift House 73-76  Colville Street Colvillle Estate,Hackney,London,"",N1 5FN,Block
Caldecott Way (39-41 Odd) DELETE? Caldecott Way,Hackney,LONDON,"",E5 0DB,Block
15 Yoakley Road,Hackney,London,"",N16 0BD,WalkUpBlock
55-60 Mayfield Close,Hackney,London,"",E8 3DB,WalkUpBlock
Southborough Road (31.40.68) DELETE? Southborough Road,Hackney,London,"",E9 7EE,Block
82-92 Even Weymouth Terrace Plus 23-28 Weymouth Court  Weymouth Terrace,Hackney,LONDON,"",E2 8LT,WalkUpBlock
1-3 Rosemary House  Grazebrook Road,Hackney,London,"",N16 0HT,WalkUpBlock
22-40A EVEN Lynmouth Road,Hackney,London,"",N16 6XL,WalkUpBlock
1-42 Datchworth Court 30 Queens Drive,Hackney,London,"",N4 2XB,HighRiseBlock
73-108 Royal Oak Court  Pitfield Street,Hackney,London,"",N1 6EP,LowRiseBlock
Bodney Road (4.13.16.20.24.26. DELETE? Bodney Road,Hackney,London,"",E8 1AY,Block
Rushden Court 1-18 Plus 1 Sim Street 18 Murrain Road,Hackney,London,"",N4 2BZ,Block
22 Brookfield Road,Hackney,London,"",E9 5AH,WalkUpBlock
1-52 Ormond House  Lordship Road,Hackney,London,"",N16 0PR,LowRiseBlock
1-12 Lea View House  Springfield,Hackney,London,"",E5 9DX,LowRiseBlock
211-235 Banister House  Homerton High Street,Hackney,London,"",E9 6BP,LowRiseBlock
1-5 ODD Dudlington Road,Hackney,London,"",E5 9PL,WalkUpBlock
45-48 Heatherley Court  Evering Road,Hackney,London,"",N16 7SP,WalkUpBlock
1-64 Moneyer House  Provost Estate,Hackney,London,"",N1 7RB,WalkUpBlock
5-8 Fairholt Close,Hackney,London,"",N16 5EL,Block
13-20 Gordon Lodge  Queen Elizabeths Walk,Hackney,London,"",N16 5UY,WalkUpBlock
13-15 ODD Nevill Road,Hackney,London,"",N16 8SL,WalkUpBlock
23 Shrubland Road,Hackney,London,"",E8 4NL,WalkUpBlock
Pendas Mead (5-7) DELETE? Pendas Mead,Lindisfarne Way,Hackney,London,E9 5PX,Block
1-24 Ivy House  Harrington Hill,Hackney,London,"",E5 9ES,LowRiseBlock
66 Benthal Road,Hackney,London,"",N16 7DA,WalkUpBlock
A-G Anchor House 24 Meadow Close,Hackney,London,"",E9 5NZ,WalkUpBlock
FLAT 15 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
8 Durlston Road,Hackney,London,"",E5 8RR,WalkUpBlock
173 Graham Road,Hackney,London,"",E8 1PD,WalkUpBlock
Canal Path (1.3.17-21 Odd.14) DELETE? Canal Path,Hackney,LONDON,"",E2 8BS,Block
22-27 Mapledene Estate  Mapledene Estate,Mapledene Road,Hackney,London,E8 3LN,WalkUpBlock
Wetherell Road (33-38) DELETE? Wetherell Road,Hackney,London,"",E9 7DB,Block
64-66 Napier Grove,Hackney,London,"",N1 7HX,WalkUpBlock
1-12 Chervil House  Ponsford Street,Hackney,LONDON,"",E9 6FD,MediumRiseBlock
128 Lansdowne Drive,Hackney,London,"",E8 4NF,WalkUpBlock
44 Bakers Hill,Hackney,London,"",E5 9HL,WalkUpBlock
23-29 ODD Daubeney Road,Hackney,LONDON,"",E5 0EE,WalkUpBlock
2-4 Even Detmold Road Plus 14-20 Even Mount Pleasant Hill  Mount Pleasant Hill,Hackney,London,"",E5 9NF,WalkUpBlock
43-53 ODD Appleby Street,Hackney,LONDON,"",E2 8EP,WalkUpBlock
17-23 ODD Benthal Road,Hackney,London,"",N16 7AT,WalkUpBlock
22 Seal Street,Hackney,London,"",E8 2EE,WalkUpBlock
84-103 Summit Estate,Portland Avenue,Hackney,London,N16 6EX,LowRiseBlock
1-69 Welshpool House  Welshpool Street,Hackney,London,"",E8 4PE,HighRiseBlock
61 Malvern Road,Hackney,London,"",E8 3LJ,WalkUpBlock
9-21 ODD Wilde Close plus 8-10 Osborn Close  Wilde Close,Hackney,London,"",E8 4JS,Block
12 Princess Crescent,Hackney,London,"",N4 2HJ,WalkUpBlock
18 Shrubland Road,Hackney,London,"",E8 4NN,Block
40-56 EVEN Detmold Road,Hackney,London,"",E5 9NJ,WalkUpBlock
72 Amhurst Road,Hackney,London,"",E8 1JH,WalkUpBlock
14-32 Wrens Park House  Warwick Grove,Hackney,London,"",E5 9LL,LowRiseBlock
12-24 Regan Way,Hackney,London,"",N1 6PH,WalkUpBlock
FLAT 7 9 11 Wenlock Street,Hackney,London,"",N1 7EX,Block
Hayton Close (4-8) DELETE? Hayton Close,Hackney,London,"",E8 3TG,Block
FLAT 40 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
FLAT 53 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
13-30 Dean Close,Hackney,London,"",E9 6ES,WalkUpBlock
7-8 Moye Close Plus 93 Goldsmiths Row  Goldsmiths Row,Hackney,LONDON,"",E2 8QR,WalkUpBlock
1-46 Morland Estate  Morland Estate,Richmond Road,Hackney,London,E8 3EY,HighRiseBlock
31-40 Purcell Street,Hackney,London,"",N1 6RD,WalkUpBlock
26 Cleveleys Road,Hackney,London,"",E5 9JN,WalkUpBlock
86 Greenwood Road,Hackney,London,"",E8 1NE,WalkUpBlock
1-7 Stephan Close plus 18-20 Sotheran Close  Stephan Close,Hackney,London,"",E8 4LJ,Block
20 Shrubland Road,Hackney,London,"",E8 4NN,Block
1-28 Gadsden House  Digby Road,Hackney,London,"",E9 6HS,WalkUpBlock
9-15 odd Anna Close,Hackney,London,"",E8 4NW,Block
Tryon Crescent (3-9 Odd) DELETE? Tryon Crescent,Hackney,London,"",E9 7RY,Block
FLAT 18 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
2 April Street,Hackney,London,"",E8 2EF,Block
33-62 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7JY,LowRiseBlock
117-122 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7LA,WalkUpBlock
38-58 EVEN Shrubland Road,Hackney,London,"",E8 4NN,WalkUpBlock
1-9 Odd Tresham Walk Plus 1-10 College Close  College Close,Hackney,London,"",E9 6ER,WalkUpBlock
114 Shakspeare Walk,Hackney,London,"",N16 8TA,WalkUpBlock
1-10 Stuart House  Queen Anne Road,Hackney,London,"",E9 7AJ,WalkUpBlock
FLAT 10 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
1-16 Marlowe House  Milton Gardens Estate,Hackney,London,"",N16 8TW,WalkUpBlock
29-42 Nelson Mandela House 124 Cazenove Road,Hackney,London,"",N16 6AJ,LowRiseBlock
154 Lansdowne Drive,Hackney,London,"",E8 4NF,WalkUpBlock
13-24 Priestley Close,Hackney,London,"",N16 6SJ,WalkUpBlock
1-6 Waterloo Close Plus 2-24 Even Tresham Walk  Tresham Walk,Hackney,London,"",E9 6EN,WalkUpBlock
157 Evering Road,Hackney,London,"",N16 7BL,WalkUpBlock
13-20 Queen Elizabeths Close,Hackney,London,"",N16 0HL,WalkUpBlock
20 Lingwood Road,Hackney,London,"",E5 9BN,WalkUpBlock
Wintergreen Court  1-39 Bridge House Estate  Homerton High Street,Hackney,LONDON,"",E9 6FU,HighRiseBlock
1-16 Tower Court DELETE? Clapton Common,Hackney,London,"",E5 9AJ,WalkUpBlock
1-4 Azalea Court  Alexandra Mews,Hackney,London,"",N4 2LB,MediumRiseBlock
1-60 Bridge House  Shepherds Lane,Hackney,London,"",E9 6JL,LowRiseBlock
7-21 Knights Close,Hackney,London,"",E9 6EW,WalkUpBlock
1-6 Alford Court  Shepherdess Walk,Hackney,London,"",N1 7JW,WalkUpBlock
26-36 EVEN Whiston Road,Hackney,LONDON,"",E2 8BW,WalkUpBlock
41 Forburg Road,Hackney,London,"",N16 6HP,WalkUpBlock
333 Amhurst Road,Hackney,London,"",N16 7UX,WalkUpBlock
